"사용일자","호선명","역명","승차총승객수","하차총승객수","등록일자"
"20230501","9호선2~3단계","삼전","4976","4854","20230504"
"20230501","분당선","상갈","4199","4100","20230504"
"20230501","4호선","상계","16207","15113","20230504"
"20230501","7호선","상도","10157","10588","20230504"
"20230501","안산선","상록수","12591","12574","20230504"
"20230501","중앙선","상봉(시외버스터미널)","5071","5163","20230504"
"20230501","7호선","상봉(시외버스터미널)","13553","13078","20230504"
"20230501","6호선","상수","9309","9973","20230504"
"20230501","2호선","상왕십리","10696","10458","20230504"
"20230501","6호선","상월곡(한국과학기술연구원)","5184","5179","20230504"
"20230501","5호선","상일동","10698","10112","20230504"
"20230501","경춘선","상천","603","513","20230504"
"20230501","6호선","새절(신사)","9947","9704","20230504"
"20230501","신림선","샛강","1508","1779","20230504"
"20230501","9호선","샛강","3440","3177","20230504"
"20230501","경의선","서강대","1938","2001","20230504"
"20230501","5호선","서대문","10879","10158","20230504"
"20230501","경부선","서동탄","1021","1027","20230504"
"20230501","경원선","서빙고","1643","1508","20230504"
"20230501","신림선","서울대벤처타운","7561","7168","20230504"
"20230501","2호선","서울대입구(관악구청)","38517","37856","20230504"
"20230501","분당선","서울숲","14372","15264","20230504"
"20230501","경의선","서울역","3162","4026","20230504"
"20230501","4호선","서울역","7354","15094","20230504"
"20230501","공항철도 1호선","서울역","12292","11468","20230504"
"20230501","경부선","서울역","10267","2342","20230504"
"20230501","1호선","서울역","44369","39452","20230504"
"20230501","신림선","서울지방병무청","2096","2355","20230504"
"20230501","신림선","서원","2624","2371","20230504"
"20230501","경부선","서정리","6815","9824","20230504"
"20230501","2호선","서초","12832","11978","20230504"
"20230501","분당선","서현","18133","18237","20230504"
"20230501","6호선","석계","9777","10288","20230504"
"20230501","경원선","석계","7144","7746","20230504"
"20230501","경부선","석수","7216","6741","20230504"
"20230501","9호선2~3단계","석촌","6754","6020","20230504"
"20230501","8호선","석촌","6115","7421","20230504"
"20230501","9호선2~3단계","석촌고분","4536","4530","20230504"
